work_year,job_title,job_role,experience_level,employment_type,salary_cad,work_type,company_location,company_size
2020,Machine Learning Manager,AI / ML Engineer,Senior-level,Full-time,158090.40000000002,Hybrid,CA,L
2021,Applied Data Scientist,Data Scientist,Mid-level,Full-time,73221.3,Hybrid,CA,L
2021,Research Scientist,Other,Mid-level,Full-time,253046.7,Fully Remote,CA,L
2021,Data Scientist,Data Scientist,Mid-level,Full-time,102294.90000000001,Fully Remote,CA,L
2021,Data Science Engineer,Data Engineer,Senior-level,Full-time,171748.35,Hybrid,CA,L
2021,Research Scientist,Other,Senior-level,Full-time,129752.55,Hybrid,CA,L
2021,Machine Learning Scientist,AI / ML Engineer,Senior-level,Full-time,303750.0,Fully Remote,CA,L
2021,Data Scientist,Data Scientist,Senior-level,Full-time,118446.3,Fully Remote,CA,S
2021,Data Analyst,Data Analyst,Senior-level,Full-time,96911.1,Fully Remote,CA,M
2021,Big Data Architect,Other,Senior-level,Full-time,134599.05000000002,Hybrid,CA,M
2022,Data Architect,Other,Senior-level,Full-time,259740.00000000003,Fully Remote,CA,M
2022,Data Analyst,Data Analyst,Senior-level,Full-time,175500.0,Fully Remote,CA,M
2022,Lead Data Engineer,Data Engineer,Executive,Full-time,159552.45,Fully Remote,CA,S
2022,Machine Learning Developer,AI / ML Engineer,Mid-level,Full-time,106367.85,Fully Remote,CA,M
2022,Director of Data Science,Other,Executive,Full-time,265921.65,Hybrid,CA,L
2022,Principal Data Analyst,Data Analyst,Mid-level,Full-time,101250.0,Fully Remote,CA,S
2022,Machine Learning Developer,AI / ML Engineer,Senior-level,Full-time,106367.85,Fully Remote,CA,M
2022,Data Scientist,Data Scientist,Entry-level,Full-time,70734.6,Fully Remote,CA,L
2022,Business Data Analyst,Data Analyst,Mid-level,Full-time,95731.20000000001,Hybrid,CA,L
2022,Data Scientist,Data Scientist,Mid-level,Full-time,93603.6,Fully Remote,CA,M
2022,Data Analyst,Data Analyst,Mid-level,Full-time,114750.00000000001,On-site,CA,M
2022,Data Analyst,Data Analyst,Entry-level,Full-time,90450.0,On-site,CA,M
